# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
gain	23	S6	0.1959	0.1959	0	0	0.0612
gain	24	N2	0.1686	0.1686	0.07016	2	0.05225
gain	24	S6	0.1959	0.1959	0	0	0.0612
gain	25	N2	0.1686	0.1686	0.07016	2	0.05225
gain	25	S6	0.1959	0.1959	0	0	0.0612
gain	26	N2	0.1686	0.1686	0.07016	2	0.05528
loss	26	N2	0.1686	0.1686	0.07016	2	0.5607
loss	26	N3	0.06772	0.2364	0.002442	1	0.05529
loss	26	N5	0.08146	0.2501	0.003067	1	0.06121
gain	26	S6	0.1959	0.1959	0	0	0.4867
loss	26	S6	0.1959	0.1959	0	0	0.06158
gain	27	N2	0.1686	0.1686	0.07016	2	0.05225
gain	27	S6	0.1959	0.1959	0	0	0.0612
gain	28	N2	0.1686	0.1686	0.07016	2	0.05225
gain	28	S6	0.1959	0.1959	0	0	0.0612
gain	29	N2	0.1686	0.1686	0.07016	2	0.05225
gain	29	S6	0.1959	0.1959	0	0	0.0612
gain	30	N2	0.1686	0.1686	0.07016	2	0.05225
gain	30	S6	0.1959	0.1959	0	0	0.0612
gain	31	N2	0.1686	0.1686	0.07016	2	0.05225
gain	31	S6	0.1959	0.1959	0	0	0.0612
gain	32	N2	0.1686	0.1686	0.07016	2	0.05225
gain	32	S6	0.1959	0.1959	0	0	0.0612
gain	33	N2	0.1686	0.1686	0.07016	2	0.05225
gain	33	S6	0.1959	0.1959	0	0	0.0612
gain	34	N2	0.1686	0.1686	0.07016	2	0.05225
gain	34	S6	0.1959	0.1959	0	0	0.0612
gain	35	N2	0.1686	0.1686	0.07016	2	0.05225
gain	35	S6	0.1959	0.1959	0	0	0.0612
gain	36	N2	0.1686	0.1686	0.07016	2	0.05225
gain	36	S6	0.1959	0.1959	0	0	0.0612
gain	37	N2	0.1686	0.1686	0.07016	2	0.05225
gain	37	S6	0.1959	0.1959	0	0	0.0612
gain	38	N2	0.1686	0.1686	0.07016	2	0.05225
gain	38	S6	0.1959	0.1959	0	0	0.0612
gain	39	N2	0.1686	0.1686	0.07016	2	0.05225
gain	39	S6	0.1959	0.1959	0	0	0.0612
gain	40	N2	0.1686	0.1686	0.07016	2	0.1529
loss	40	N2	0.1686	0.1686	0.07016	2	0.2718
gain	40	N3	0.06772	0.2364	0.002442	1	0.3363
loss	40	N5	0.08146	0.2501	0.003067	1	0.6878
gain	40	S6	0.1959	0.1959	0	0	0.2943
loss	40	S6	0.1959	0.1959	0	0	0.1075
gain	41	N2	0.1686	0.1686	0.07016	2	0.09149
gain	41	N5	0.08146	0.2501	0.003067	1	0.05067
gain	41	S6	0.1959	0.1959	0	0	0.07565
loss	41	S6	0.1959	0.1959	0	0	0.09875
gain	42	N2	0.1686	0.1686	0.07016	2	0.05528
loss	42	N2	0.1686	0.1686	0.07016	2	0.5607
loss	42	N3	0.06772	0.2364	0.002442	1	0.05529
loss	42	N5	0.08146	0.2501	0.003067	1	0.06121
gain	42	S6	0.1959	0.1959	0	0	0.4867
loss	42	S6	0.1959	0.1959	0	0	0.06158
gain	43	N2	0.1686	0.1686	0.07016	2	0.05225
gain	43	S6	0.1959	0.1959	0	0	0.0612
gain	44	N2	0.1686	0.1686	0.07016	2	0.05225
gain	44	S6	0.1959	0.1959	0	0	0.0612
gain	45	N2	0.1686	0.1686	0.07016	2	0.05225
gain	45	S6	0.1959	0.1959	0	0	0.0612
gain	46	N2	0.1686	0.1686	0.07016	2	0.05225
gain	46	S6	0.1959	0.1959	0	0	0.0612
gain	47	N2	0.1686	0.1686	0.07016	2	0.05225
gain	47	S6	0.1959	0.1959	0	0	0.0612
gain	48	N2	0.1686	0.1686	0.07016	2	0.05225
gain	48	S6	0.1959	0.1959	0	0	0.0612
gain	49	N2	0.1686	0.1686	0.07016	2	0.05225
gain	49	S6	0.1959	0.1959	0	0	0.0612
gain	50	N2	0.1686	0.1686	0.07016	2	0.05225
gain	50	S6	0.1959	0.1959	0	0	0.0612
gain	51	N2	0.1686	0.1686	0.07016	2	0.05225
gain	51	S6	0.1959	0.1959	0	0	0.0612
gain	52	N2	0.1686	0.1686	0.07016	2	0.05225
gain	52	S6	0.1959	0.1959	0	0	0.0612
gain	53	N2	0.1686	0.1686	0.07016	2	0.05528
loss	53	N2	0.1686	0.1686	0.07016	2	0.5607
loss	53	N3	0.06772	0.2364	0.002442	1	0.05529
loss	53	N5	0.08146	0.2501	0.003067	1	0.06121
gain	53	S6	0.1959	0.1959	0	0	0.4867
loss	53	S6	0.1959	0.1959	0	0	0.06158
gain	54	N2	0.1686	0.1686	0.07016	2	0.08604
gain	54	S6	0.1959	0.1959	0	0	0.06282
loss	54	S6	0.1959	0.1959	0	0	0.09042
gain	55	N2	0.1686	0.1686	0.07016	2	0.05225
gain	55	S6	0.1959	0.1959	0	0	0.0612
gain	56	N2	0.1686	0.1686	0.07016	2	0.05225
gain	56	S6	0.1959	0.1959	0	0	0.0612
gain	57	N2	0.1686	0.1686	0.07016	2	0.05225
gain	57	S6	0.1959	0.1959	0	0	0.0612
gain	58	N2	0.1686	0.1686	0.07016	2	0.05225
gain	58	S6	0.1959	0.1959	0	0	0.0612
gain	59	N2	0.1686	0.1686	0.07016	2	0.05225
gain	59	S6	0.1959	0.1959	0	0	0.0612
gain	60	N2	0.1686	0.1686	0.07016	2	0.4094
loss	60	N2	0.1686	0.1686	0.07016	2	0.07512
gain	60	N3	0.06772	0.2364	0.002442	1	0.0523
gain	60	N5	0.08146	0.2501	0.003067	1	0.05815
gain	60	S6	0.1959	0.1959	0	0	0.07835
loss	60	S6	0.1959	0.1959	0	0	0.6676
gain	61	N2	0.1686	0.1686	0.07016	2	0.05225
gain	61	S6	0.1959	0.1959	0	0	0.0612
gain	62	N2	0.1686	0.1686	0.07016	2	0.05225
gain	62	S6	0.1959	0.1959	0	0	0.0612
gain	63	N2	0.1686	0.1686	0.07016	2	0.05225
gain	63	S6	0.1959	0.1959	0	0	0.0612
gain	64	N2	0.1686	0.1686	0.07016	2	0.05225
gain	64	S6	0.1959	0.1959	0	0	0.0612
gain	65	N2	0.1686	0.1686	0.07016	2	0.05225
gain	65	S6	0.1959	0.1959	0	0	0.0612
gain	66	N2	0.1686	0.1686	0.07016	2	0.1175
loss	66	N2	0.1686	0.1686	0.07016	2	0.2291
gain	66	N3	0.06772	0.2364	0.002442	1	0.1176
loss	66	N4	0.004088	0.2404	0.001278	1	0.2216
gain	66	S3	0.002442	0.2388	0	0	0.7782
loss	66	N5	0.08146	0.2501	0.003067	1	0.1609
gain	66	S6	0.1959	0.1959	0	0	0.09666
loss	66	S6	0.1959	0.1959	0	0	0.3374
gain	67	N2	0.1686	0.1686	0.07016	2	0.05225
gain	67	S6	0.1959	0.1959	0	0	0.0612
gain	68	N2	0.1686	0.1686	0.07016	2	0.05225
gain	68	S6	0.1959	0.1959	0	0	0.0612
gain	69	N2	0.1686	0.1686	0.07016	2	0.4094
loss	69	N2	0.1686	0.1686	0.07016	2	0.07512
gain	69	N3	0.06772	0.2364	0.002442	1	0.0523
gain	69	N5	0.08146	0.2501	0.003067	1	0.05815
gain	69	S6	0.1959	0.1959	0	0	0.07835
loss	69	S6	0.1959	0.1959	0	0	0.6676
gain	70	N2	0.1686	0.1686	0.07016	2	0.05225
gain	70	S6	0.1959	0.1959	0	0	0.0612
gain	71	N2	0.1686	0.1686	0.07016	2	0.05528
loss	71	N2	0.1686	0.1686	0.07016	2	0.5607
loss	71	N3	0.06772	0.2364	0.002442	1	0.05529
loss	71	N5	0.08146	0.2501	0.003067	1	0.06121
gain	71	S6	0.1959	0.1959	0	0	0.4867
loss	71	S6	0.1959	0.1959	0	0	0.06158
gain	72	N2	0.1686	0.1686	0.07016	2	0.05225
gain	72	S6	0.1959	0.1959	0	0	0.0612
gain	73	N2	0.1686	0.1686	0.07016	2	0.05225
gain	73	S6	0.1959	0.1959	0	0	0.0612
gain	74	N2	0.1686	0.1686	0.07016	2	0.05225
gain	74	S6	0.1959	0.1959	0	0	0.0612
gain	75	N2	0.1686	0.1686	0.07016	2	0.05225
gain	75	S6	0.1959	0.1959	0	0	0.0612
gain	76	N2	0.1686	0.1686	0.07016	2	0.05225
gain	76	S6	0.1959	0.1959	0	0	0.0612
gain	77	N2	0.1686	0.1686	0.07016	2	0.05225
gain	77	S6	0.1959	0.1959	0	0	0.0612
gain	78	N2	0.1686	0.1686	0.07016	2	0.05225
gain	78	S6	0.1959	0.1959	0	0	0.0612
gain	79	N2	0.1686	0.1686	0.07016	2	0.05225
gain	79	S6	0.1959	0.1959	0	0	0.0612
gain	80	N2	0.1686	0.1686	0.07016	2	0.1459
loss	80	N2	0.1686	0.1686	0.07016	2	0.3207
loss	80	N3	0.06772	0.2364	0.002442	1	0.6027
gain	80	N5	0.08146	0.2501	0.003067	1	0.4227
gain	80	S6	0.1959	0.1959	0	0	0.3182
loss	80	S6	0.1959	0.1959	0	0	0.1084
gain	81	N2	0.1686	0.1686	0.07016	2	0.05225
gain	81	S6	0.1959	0.1959	0	0	0.0612
gain	82	N2	0.1686	0.1686	0.07016	2	0.05225
gain	82	S6	0.1959	0.1959	0	0	0.0612
gain	83	N2	0.1686	0.1686	0.07016	2	0.05225
gain	83	S6	0.1959	0.1959	0	0	0.0612
gain	84	N2	0.1686	0.1686	0.07016	2	0.05225
gain	84	S6	0.1959	0.1959	0	0	0.0612
gain	85	N2	0.1686	0.1686	0.07016	2	0.05225
gain	85	S6	0.1959	0.1959	0	0	0.0612
gain	86	N2	0.1686	0.1686	0.07016	2	0.05225
gain	86	S6	0.1959	0.1959	0	0	0.0612
gain	87	N2	0.1686	0.1686	0.07016	2	0.05225
gain	87	S6	0.1959	0.1959	0	0	0.0612
gain	88	N2	0.1686	0.1686	0.07016	2	0.05225
gain	88	S6	0.1959	0.1959	0	0	0.0612
gain	89	N2	0.1686	0.1686	0.07016	2	0.05225
gain	89	S6	0.1959	0.1959	0	0	0.0612
gain	90	N2	0.1686	0.1686	0.07016	2	0.05225
gain	90	S6	0.1959	0.1959	0	0	0.0612
gain	91	N2	0.1686	0.1686	0.07016	2	0.4094
loss	91	N2	0.1686	0.1686	0.07016	2	0.07512
gain	91	N3	0.06772	0.2364	0.002442	1	0.0523
gain	91	N5	0.08146	0.2501	0.003067	1	0.05815
gain	91	S6	0.1959	0.1959	0	0	0.07835
loss	91	S6	0.1959	0.1959	0	0	0.6676
gain	92	N2	0.1686	0.1686	0.07016	2	0.05225
gain	92	S6	0.1959	0.1959	0	0	0.0612
gain	93	N2	0.1686	0.1686	0.07016	2	0.05225
gain	93	S6	0.1959	0.1959	0	0	0.0612
gain	94	N2	0.1686	0.1686	0.07016	2	0.05225
gain	94	S6	0.1959	0.1959	0	0	0.0612
gain	95	N2	0.1686	0.1686	0.07016	2	0.05225
gain	95	S6	0.1959	0.1959	0	0	0.0612
gain	96	N2	0.1686	0.1686	0.07016	2	0.05225
gain	96	S6	0.1959	0.1959	0	0	0.0612
gain	97	N2	0.1686	0.1686	0.07016	2	0.05225
gain	97	S6	0.1959	0.1959	0	0	0.0612
gain	98	N2	0.1686	0.1686	0.07016	2	0.4094
loss	98	N2	0.1686	0.1686	0.07016	2	0.07512
gain	98	N3	0.06772	0.2364	0.002442	1	0.0523
gain	98	N5	0.08146	0.2501	0.003067	1	0.05815
gain	98	S6	0.1959	0.1959	0	0	0.07835
loss	98	S6	0.1959	0.1959	0	0	0.6676
gain	99	N2	0.1686	0.1686	0.07016	2	0.05225
gain	99	S6	0.1959	0.1959	0	0	0.0612
gain	100	N2	0.1686	0.1686	0.07016	2	0.05225
gain	100	S6	0.1959	0.1959	0	0	0.0612
gain	101	N2	0.1686	0.1686	0.07016	2	0.4094
loss	101	N2	0.1686	0.1686	0.07016	2	0.07512
gain	101	N3	0.06772	0.2364	0.002442	1	0.0523
gain	101	N5	0.08146	0.2501	0.003067	1	0.05815
gain	101	S6	0.1959	0.1959	0	0	0.07835
loss	101	S6	0.1959	0.1959	0	0	0.6676
gain	102	N2	0.1686	0.1686	0.07016	2	0.06261
loss	102	N2	0.1686	0.1686	0.07016	2	0.08783
gain	102	S6	0.1959	0.1959	0	0	0.112
gain	103	N2	0.1686	0.1686	0.07016	2	0.05225
gain	103	S6	0.1959	0.1959	0	0	0.0612
gain	104	N2	0.1686	0.1686	0.07016	2	0.05225
gain	104	S6	0.1959	0.1959	0	0	0.0612
gain	105	N2	0.1686	0.1686	0.07016	2	0.05225
gain	105	S6	0.1959	0.1959	0	0	0.0612
gain	106	N2	0.1686	0.1686	0.07016	2	0.05225
gain	106	S6	0.1959	0.1959	0	0	0.0612
gain	107	N2	0.1686	0.1686	0.07016	2	0.05225
gain	107	S6	0.1959	0.1959	0	0	0.0612
gain	108	N2	0.1686	0.1686	0.07016	2	0.05225
gain	108	S6	0.1959	0.1959	0	0	0.0612
gain	109	N2	0.1686	0.1686	0.07016	2	0.05528
loss	109	N2	0.1686	0.1686	0.07016	2	0.5607
loss	109	N3	0.06772	0.2364	0.002442	1	0.05529
loss	109	N5	0.08146	0.2501	0.003067	1	0.06121
gain	109	S6	0.1959	0.1959	0	0	0.4867
loss	109	S6	0.1959	0.1959	0	0	0.06158
gain	110	N2	0.1686	0.1686	0.07016	2	0.08604
gain	110	S6	0.1959	0.1959	0	0	0.06282
loss	110	S6	0.1959	0.1959	0	0	0.09042
gain	111	N2	0.1686	0.1686	0.07016	2	0.05225
gain	111	S6	0.1959	0.1959	0	0	0.0612
gain	112	N2	0.1686	0.1686	0.07016	2	0.05225
gain	112	S6	0.1959	0.1959	0	0	0.0612
gain	113	N2	0.1686	0.1686	0.07016	2	0.05225
gain	113	S6	0.1959	0.1959	0	0	0.0612
gain	114	N2	0.1686	0.1686	0.07016	2	0.05225
gain	114	S6	0.1959	0.1959	0	0	0.0612
gain	115	N2	0.1686	0.1686	0.07016	2	0.05225
gain	115	S6	0.1959	0.1959	0	0	0.0612
gain	116	N2	0.1686	0.1686	0.07016	2	0.05225
gain	116	S6	0.1959	0.1959	0	0	0.0612
gain	117	N2	0.1686	0.1686	0.07016	2	0.05225
gain	117	S6	0.1959	0.1959	0	0	0.0612
gain	118	N2	0.1686	0.1686	0.07016	2	0.05225
gain	118	S6	0.1959	0.1959	0	0	0.0612
gain	119	N2	0.1686	0.1686	0.07016	2	0.05225
gain	119	S6	0.1959	0.1959	0	0	0.0612
gain	120	N2	0.1686	0.1686	0.07016	2	0.05225
gain	120	S6	0.1959	0.1959	0	0	0.0612
gain	121	N2	0.1686	0.1686	0.07016	2	0.4094
loss	121	N2	0.1686	0.1686	0.07016	2	0.07512
gain	121	N3	0.06772	0.2364	0.002442	1	0.0523
gain	121	N5	0.08146	0.2501	0.003067	1	0.05815
gain	121	S6	0.1959	0.1959	0	0	0.07835
loss	121	S6	0.1959	0.1959	0	0	0.6676
gain	122	N2	0.1686	0.1686	0.07016	2	0.05225
gain	122	S6	0.1959	0.1959	0	0	0.0612
gain	123	N2	0.1686	0.1686	0.07016	2	0.05225
gain	123	S6	0.1959	0.1959	0	0	0.0612
gain	124	N2	0.1686	0.1686	0.07016	2	0.05225
gain	124	S6	0.1959	0.1959	0	0	0.0612
gain	125	N2	0.1686	0.1686	0.07016	2	0.05225
gain	125	S6	0.1959	0.1959	0	0	0.0612
gain	126	N2	0.1686	0.1686	0.07016	2	0.2088
loss	126	N2	0.1686	0.1686	0.07016	2	0.1797
gain	126	N3	0.06772	0.2364	0.002442	1	0.5976
loss	126	N5	0.08146	0.2501	0.003067	1	0.4239
gain	126	S6	0.1959	0.1959	0	0	0.09881
loss	126	S6	0.1959	0.1959	0	0	0.4541
gain	127	N2	0.1686	0.1686	0.07016	2	0.05225
gain	127	S6	0.1959	0.1959	0	0	0.0612
gain	128	N2	0.1686	0.1686	0.07016	2	0.05225
gain	128	S6	0.1959	0.1959	0	0	0.0612
gain	129	N2	0.1686	0.1686	0.07016	2	0.2088
loss	129	N2	0.1686	0.1686	0.07016	2	0.1797
gain	129	N3	0.06772	0.2364	0.002442	1	0.5976
loss	129	N5	0.08146	0.2501	0.003067	1	0.4239
gain	129	S6	0.1959	0.1959	0	0	0.09881
loss	129	S6	0.1959	0.1959	0	0	0.4541
gain	130	N2	0.1686	0.1686	0.07016	2	0.3676
loss	130	N2	0.1686	0.1686	0.07016	2	0.09778
loss	130	N3	0.06772	0.2364	0.002442	1	0.0752
gain	130	N5	0.08146	0.2501	0.003067	1	0.1723
gain	130	S6	0.1959	0.1959	0	0	0.08254
loss	130	S6	0.1959	0.1959	0	0	0.6231
gain	131	N2	0.1686	0.1686	0.07016	2	0.06261
loss	131	N2	0.1686	0.1686	0.07016	2	0.08783
gain	131	S6	0.1959	0.1959	0	0	0.112
gain	132	N2	0.1686	0.1686	0.07016	2	0.05225
gain	132	S6	0.1959	0.1959	0	0	0.0612
gain	133	N2	0.1686	0.1686	0.07016	2	0.05225
gain	133	S6	0.1959	0.1959	0	0	0.0612
gain	134	N2	0.1686	0.1686	0.07016	2	0.4094
loss	134	N2	0.1686	0.1686	0.07016	2	0.07512
gain	134	N3	0.06772	0.2364	0.002442	1	0.0523
gain	134	N5	0.08146	0.2501	0.003067	1	0.05815
gain	134	S6	0.1959	0.1959	0	0	0.07835
loss	134	S6	0.1959	0.1959	0	0	0.6676
gain	135	N2	0.1686	0.1686	0.07016	2	0.05225
gain	135	S6	0.1959	0.1959	0	0	0.0612
gain	136	N2	0.1686	0.1686	0.07016	2	0.4094
loss	136	N2	0.1686	0.1686	0.07016	2	0.07512
gain	136	N3	0.06772	0.2364	0.002442	1	0.0523
gain	136	N5	0.08146	0.2501	0.003067	1	0.05815
gain	136	S6	0.1959	0.1959	0	0	0.07835
loss	136	S6	0.1959	0.1959	0	0	0.6676
gain	137	N2	0.1686	0.1686	0.07016	2	0.06261
loss	137	N2	0.1686	0.1686	0.07016	2	0.08783
gain	137	S6	0.1959	0.1959	0	0	0.112
gain	138	N2	0.1686	0.1686	0.07016	2	0.05225
gain	138	S6	0.1959	0.1959	0	0	0.0612
gain	139	N2	0.1686	0.1686	0.07016	2	0.4094
loss	139	N2	0.1686	0.1686	0.07016	2	0.07512
gain	139	N3	0.06772	0.2364	0.002442	1	0.0523
gain	139	N5	0.08146	0.2501	0.003067	1	0.05815
gain	139	S6	0.1959	0.1959	0	0	0.07835
loss	139	S6	0.1959	0.1959	0	0	0.6676
gain	140	N2	0.1686	0.1686	0.07016	2	0.05225
gain	140	S6	0.1959	0.1959	0	0	0.0612
gain	141	N2	0.1686	0.1686	0.07016	2	0.05225
gain	141	S6	0.1959	0.1959	0	0	0.0612
gain	142	N2	0.1686	0.1686	0.07016	2	0.09115
loss	142	N2	0.1686	0.1686	0.07016	2	0.2286
loss	142	N3	0.06772	0.2364	0.002442	1	0.08661
gain	142	N5	0.08146	0.2501	0.003067	1	0.07643
loss	142	S1	0.003067	0.2532	0	0	0.1023
gain	142	S2	0.004728	0.2548	0	0	0.8977
gain	142	S6	0.1959	0.1959	0	0	0.09027
loss	142	S6	0.1959	0.1959	0	0	0.2927
gain	143	N2	0.1686	0.1686	0.07016	2	0.1785
loss	143	N2	0.1686	0.1686	0.07016	2	0.1938
loss	143	N3	0.06772	0.2364	0.002442	1	0.3329
gain	143	N5	0.08146	0.2501	0.003067	1	0.665
gain	143	S6	0.1959	0.1959	0	0	0.09696
loss	143	S6	0.1959	0.1959	0	0	0.4132
gain	144	N2	0.1686	0.1686	0.07016	2	0.3746
loss	144	N2	0.1686	0.1686	0.07016	2	0.09412
gain	144	N3	0.06772	0.2364	0.002442	1	0.147
gain	144	N5	0.08146	0.2501	0.003067	1	0.05132
loss	144	N5	0.08146	0.2501	0.003067	1	0.09177
gain	144	S6	0.1959	0.1959	0	0	0.08251
loss	144	S6	0.1959	0.1959	0	0	0.6317
gain	145	N2	0.1686	0.1686	0.07016	2	0.06261
loss	145	N2	0.1686	0.1686	0.07016	2	0.08783
gain	145	S6	0.1959	0.1959	0	0	0.112
gain	146	N2	0.1686	0.1686	0.07016	2	0.06261
loss	146	N2	0.1686	0.1686	0.07016	2	0.08783
gain	146	S6	0.1959	0.1959	0	0	0.112
gain	147	N2	0.1686	0.1686	0.07016	2	0.05269
gain	147	S6	0.1959	0.1959	0	0	0.06181
gain	148	N2	0.1686	0.1686	0.07016	2	0.05225
gain	148	S6	0.1959	0.1959	0	0	0.0612
gain	149	N2	0.1686	0.1686	0.07016	2	0.05225
gain	149	S6	0.1959	0.1959	0	0	0.0612
gain	150	N2	0.1686	0.1686	0.07016	2	0.05225
gain	150	S6	0.1959	0.1959	0	0	0.0612
gain	151	N2	0.1686	0.1686	0.07016	2	0.05225
gain	151	S6	0.1959	0.1959	0	0	0.0612
gain	152	N2	0.1686	0.1686	0.07016	2	0.05225
gain	152	S6	0.1959	0.1959	0	0	0.0612
gain	153	N2	0.1686	0.1686	0.07016	2	0.4094
loss	153	N2	0.1686	0.1686	0.07016	2	0.07512
gain	153	N3	0.06772	0.2364	0.002442	1	0.0523
gain	153	N5	0.08146	0.2501	0.003067	1	0.05815
gain	153	S6	0.1959	0.1959	0	0	0.07835
loss	153	S6	0.1959	0.1959	0	0	0.6676
gain	154	N2	0.1686	0.1686	0.07016	2	0.06261
loss	154	N2	0.1686	0.1686	0.07016	2	0.08783
gain	154	S6	0.1959	0.1959	0	0	0.112
gain	155	N2	0.1686	0.1686	0.07016	2	0.4094
loss	155	N2	0.1686	0.1686	0.07016	2	0.07512
gain	155	N3	0.06772	0.2364	0.002442	1	0.0523
gain	155	N5	0.08146	0.2501	0.003067	1	0.05815
gain	155	S6	0.1959	0.1959	0	0	0.07835
loss	155	S6	0.1959	0.1959	0	0	0.6676
gain	156	N2	0.1686	0.1686	0.07016	2	0.05225
gain	156	S6	0.1959	0.1959	0	0	0.0612
gain	157	N2	0.1686	0.1686	0.07016	2	0.05528
loss	157	N2	0.1686	0.1686	0.07016	2	0.5607
loss	157	N3	0.06772	0.2364	0.002442	1	0.05529
loss	157	N5	0.08146	0.2501	0.003067	1	0.06121
gain	157	S6	0.1959	0.1959	0	0	0.4867
loss	157	S6	0.1959	0.1959	0	0	0.06158
gain	158	N2	0.1686	0.1686	0.07016	2	0.08604
gain	158	S6	0.1959	0.1959	0	0	0.06282
loss	158	S6	0.1959	0.1959	0	0	0.09042
gain	159	N2	0.1686	0.1686	0.07016	2	0.08604
gain	159	S6	0.1959	0.1959	0	0	0.06282
loss	159	S6	0.1959	0.1959	0	0	0.09042
gain	160	N2	0.1686	0.1686	0.07016	2	0.1694
loss	160	N2	0.1686	0.1686	0.07016	2	0.2446
gain	160	N3	0.06772	0.2364	0.002442	1	0.4133
loss	160	N5	0.08146	0.2501	0.003067	1	0.61
gain	160	S6	0.1959	0.1959	0	0	0.2367
loss	160	S6	0.1959	0.1959	0	0	0.2096
gain	161	N2	0.1686	0.1686	0.07016	2	0.05225
gain	161	S6	0.1959	0.1959	0	0	0.0612
gain	162	N2	0.1686	0.1686	0.07016	2	0.05225
gain	162	S6	0.1959	0.1959	0	0	0.0612
gain	163	N2	0.1686	0.1686	0.07016	2	0.05225
gain	163	S6	0.1959	0.1959	0	0	0.0612
