# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	19	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	20	N2	0.1686	0.1686	0.07016	2	0.05528	0.05691
loss	20	N2	0.1686	0.1686	0.07016	2	0.5607	0.5769
loss	20	N3	0.06772	0.2364	0.002442	1	0.05529	0.05573
loss	20	N5	0.08146	0.2501	0.003067	1	0.06121	0.06188
gain	20	S6	0.1959	0.1959	0	0	0.4867	0.5013
loss	20	S6	0.1959	0.1959	0	0	0.06158	0.06368
gain	21	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	21	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	22	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	22	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	23	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	23	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	24	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	24	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	25	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	25	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	26	N2	0.1686	0.1686	0.07016	2	0.05528	0.05691
loss	26	N2	0.1686	0.1686	0.07016	2	0.5607	0.5769
loss	26	N3	0.06772	0.2364	0.002442	1	0.05529	0.05573
loss	26	N5	0.08146	0.2501	0.003067	1	0.06121	0.06188
gain	26	S6	0.1959	0.1959	0	0	0.4867	0.5013
loss	26	S6	0.1959	0.1959	0	0	0.06158	0.06368
gain	27	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	27	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	28	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	28	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	29	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	29	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	30	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	30	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	31	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	31	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	32	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	32	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	33	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	33	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	34	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	34	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	35	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	35	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	36	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	36	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	37	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	37	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	38	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	38	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	39	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	39	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	40	N2	0.1686	0.1686	0.07016	2	0.1529	0.1593
loss	40	N2	0.1686	0.1686	0.07016	2	0.2718	0.2838
gain	40	N3	0.06772	0.2364	0.002442	1	0.3363	0.339
loss	40	N5	0.08146	0.2501	0.003067	1	0.6878	0.6944
gain	40	S6	0.1959	0.1959	0	0	0.2943	0.3112
loss	40	S6	0.1959	0.1959	0	0	0.1075	0.1114
gain	41	N2	0.1686	0.1686	0.07016	2	0.09149	0.09477
gain	41	N5	0.08146	0.2501	0.003067	1	0.05067	0.05117
gain	41	S6	0.1959	0.1959	0	0	0.07565	0.07957
loss	41	S6	0.1959	0.1959	0	0	0.09875	0.1032
gain	42	N2	0.1686	0.1686	0.07016	2	0.05528	0.05691
loss	42	N2	0.1686	0.1686	0.07016	2	0.5607	0.5769
loss	42	N3	0.06772	0.2364	0.002442	1	0.05529	0.05573
loss	42	N5	0.08146	0.2501	0.003067	1	0.06121	0.06188
gain	42	S6	0.1959	0.1959	0	0	0.4867	0.5013
loss	42	S6	0.1959	0.1959	0	0	0.06158	0.06368
gain	43	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	43	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	44	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	44	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	45	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	45	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	46	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	46	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	47	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	47	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	48	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	48	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	49	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	49	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	50	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	50	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	51	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	51	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	52	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	52	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	53	N2	0.1686	0.1686	0.07016	2	0.05528	0.05691
loss	53	N2	0.1686	0.1686	0.07016	2	0.5607	0.5769
loss	53	N3	0.06772	0.2364	0.002442	1	0.05529	0.05573
loss	53	N5	0.08146	0.2501	0.003067	1	0.06121	0.06188
gain	53	S6	0.1959	0.1959	0	0	0.4867	0.5013
loss	53	S6	0.1959	0.1959	0	0	0.06158	0.06368
gain	54	N2	0.1686	0.1686	0.07016	2	0.08604	0.08906
gain	54	S6	0.1959	0.1959	0	0	0.06282	0.06602
loss	54	S6	0.1959	0.1959	0	0	0.09042	0.09436
gain	55	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	55	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	56	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	56	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	57	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	57	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	58	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	58	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	59	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	59	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	60	N2	0.1686	0.1686	0.07016	2	0.4094	0.4211
loss	60	N2	0.1686	0.1686	0.07016	2	0.07512	0.07752
gain	60	N3	0.06772	0.2364	0.002442	1	0.0523	0.05269
gain	60	N5	0.08146	0.2501	0.003067	1	0.05815	0.05874
gain	60	S6	0.1959	0.1959	0	0	0.07835	0.08108
loss	60	S6	0.1959	0.1959	0	0	0.6676	0.6994
gain	61	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	61	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	62	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	62	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	63	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	63	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	64	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	64	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	65	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	65	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	66	N2	0.1686	0.1686	0.07016	2	0.1175	0.1221
loss	66	N2	0.1686	0.1686	0.07016	2	0.2291	0.2402
gain	66	N3	0.06772	0.2364	0.002442	1	0.1176	0.1185
loss	66	N4	0.004088	0.2404	0.001278	1	0.2216	0.2216
gain	66	S3	0.002442	0.2388	0	0	0.7782	0.7782
loss	66	N5	0.08146	0.2501	0.003067	1	0.1609	0.163
gain	66	S6	0.1959	0.1959	0	0	0.09666	0.1003
loss	66	S6	0.1959	0.1959	0	0	0.3374	0.3603
gain	67	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	67	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	68	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	68	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	69	N2	0.1686	0.1686	0.07016	2	0.4094	0.4211
loss	69	N2	0.1686	0.1686	0.07016	2	0.07512	0.07752
gain	69	N3	0.06772	0.2364	0.002442	1	0.0523	0.05269
gain	69	N5	0.08146	0.2501	0.003067	1	0.05815	0.05874
gain	69	S6	0.1959	0.1959	0	0	0.07835	0.08108
loss	69	S6	0.1959	0.1959	0	0	0.6676	0.6994
gain	70	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	70	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	71	N2	0.1686	0.1686	0.07016	2	0.05528	0.05691
loss	71	N2	0.1686	0.1686	0.07016	2	0.5607	0.5769
loss	71	N3	0.06772	0.2364	0.002442	1	0.05529	0.05573
loss	71	N5	0.08146	0.2501	0.003067	1	0.06121	0.06188
gain	71	S6	0.1959	0.1959	0	0	0.4867	0.5013
loss	71	S6	0.1959	0.1959	0	0	0.06158	0.06368
gain	72	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	72	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	73	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	73	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	74	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	74	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	75	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	75	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	76	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	76	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	77	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	77	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	78	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	78	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	79	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	79	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	80	N2	0.1686	0.1686	0.07016	2	0.1459	0.1517
loss	80	N2	0.1686	0.1686	0.07016	2	0.3207	0.3353
loss	80	N3	0.06772	0.2364	0.002442	1	0.6027	0.6068
gain	80	N5	0.08146	0.2501	0.003067	1	0.4227	0.4275
gain	80	S6	0.1959	0.1959	0	0	0.3182	0.3365
loss	80	S6	0.1959	0.1959	0	0	0.1084	0.1123
gain	81	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	81	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	82	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	82	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	83	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	83	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	84	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	84	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	85	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	85	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	86	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	86	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	87	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	87	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	88	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	88	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	89	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	89	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	90	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	90	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	91	N2	0.1686	0.1686	0.07016	2	0.4094	0.4211
loss	91	N2	0.1686	0.1686	0.07016	2	0.07512	0.07752
gain	91	N3	0.06772	0.2364	0.002442	1	0.0523	0.05269
gain	91	N5	0.08146	0.2501	0.003067	1	0.05815	0.05874
gain	91	S6	0.1959	0.1959	0	0	0.07835	0.08108
loss	91	S6	0.1959	0.1959	0	0	0.6676	0.6994
gain	92	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	92	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	93	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	93	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	94	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	94	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	95	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	95	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	96	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	96	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	97	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	97	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	98	N2	0.1686	0.1686	0.07016	2	0.4094	0.4211
loss	98	N2	0.1686	0.1686	0.07016	2	0.07512	0.07752
gain	98	N3	0.06772	0.2364	0.002442	1	0.0523	0.05269
gain	98	N5	0.08146	0.2501	0.003067	1	0.05815	0.05874
gain	98	S6	0.1959	0.1959	0	0	0.07835	0.08108
loss	98	S6	0.1959	0.1959	0	0	0.6676	0.6994
gain	99	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	99	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	100	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	100	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	101	N2	0.1686	0.1686	0.07016	2	0.4094	0.4211
loss	101	N2	0.1686	0.1686	0.07016	2	0.07512	0.07752
gain	101	N3	0.06772	0.2364	0.002442	1	0.0523	0.05269
gain	101	N5	0.08146	0.2501	0.003067	1	0.05815	0.05874
gain	101	S6	0.1959	0.1959	0	0	0.07835	0.08108
loss	101	S6	0.1959	0.1959	0	0	0.6676	0.6994
gain	102	N2	0.1686	0.1686	0.07016	2	0.06261	0.0651
loss	102	N2	0.1686	0.1686	0.07016	2	0.08783	0.09092
gain	102	S6	0.1959	0.1959	0	0	0.112	0.1174
gain	103	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	103	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	104	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	104	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	105	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	105	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	106	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	106	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	107	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	107	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	108	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	108	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	109	N2	0.1686	0.1686	0.07016	2	0.05528	0.05691
loss	109	N2	0.1686	0.1686	0.07016	2	0.5607	0.5769
loss	109	N3	0.06772	0.2364	0.002442	1	0.05529	0.05573
loss	109	N5	0.08146	0.2501	0.003067	1	0.06121	0.06188
gain	109	S6	0.1959	0.1959	0	0	0.4867	0.5013
loss	109	S6	0.1959	0.1959	0	0	0.06158	0.06368
gain	110	N2	0.1686	0.1686	0.07016	2	0.08604	0.08906
gain	110	S6	0.1959	0.1959	0	0	0.06282	0.06602
loss	110	S6	0.1959	0.1959	0	0	0.09042	0.09436
gain	111	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	111	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	112	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	112	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	113	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	113	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	114	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	114	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	115	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	115	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	116	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	116	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	117	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	117	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	118	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	118	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	119	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	119	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	120	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	120	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	121	N2	0.1686	0.1686	0.07016	2	0.4094	0.4211
loss	121	N2	0.1686	0.1686	0.07016	2	0.07512	0.07752
gain	121	N3	0.06772	0.2364	0.002442	1	0.0523	0.05269
gain	121	N5	0.08146	0.2501	0.003067	1	0.05815	0.05874
gain	121	S6	0.1959	0.1959	0	0	0.07835	0.08108
loss	121	S6	0.1959	0.1959	0	0	0.6676	0.6994
gain	122	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	122	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	123	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	123	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	124	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	124	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	125	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	125	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	126	N2	0.1686	0.1686	0.07016	2	0.2088	0.2175
loss	126	N2	0.1686	0.1686	0.07016	2	0.1797	0.1877
gain	126	N3	0.06772	0.2364	0.002442	1	0.5976	0.6004
loss	126	N5	0.08146	0.2501	0.003067	1	0.4239	0.4289
gain	126	S6	0.1959	0.1959	0	0	0.09881	0.1024
loss	126	S6	0.1959	0.1959	0	0	0.4541	0.4841
gain	127	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	127	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	128	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	128	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	129	N2	0.1686	0.1686	0.07016	2	0.2088	0.2175
loss	129	N2	0.1686	0.1686	0.07016	2	0.1797	0.1877
gain	129	N3	0.06772	0.2364	0.002442	1	0.5976	0.6004
loss	129	N5	0.08146	0.2501	0.003067	1	0.4239	0.4289
gain	129	S6	0.1959	0.1959	0	0	0.09881	0.1024
loss	129	S6	0.1959	0.1959	0	0	0.4541	0.4841
gain	130	N2	0.1686	0.1686	0.07016	2	0.3676	0.3786
loss	130	N2	0.1686	0.1686	0.07016	2	0.09778	0.1014
loss	130	N3	0.06772	0.2364	0.002442	1	0.0752	0.07578
gain	130	N5	0.08146	0.2501	0.003067	1	0.1723	0.1736
gain	130	S6	0.1959	0.1959	0	0	0.08254	0.08545
loss	130	S6	0.1959	0.1959	0	0	0.6231	0.6544
gain	131	N2	0.1686	0.1686	0.07016	2	0.06261	0.0651
loss	131	N2	0.1686	0.1686	0.07016	2	0.08783	0.09092
gain	131	S6	0.1959	0.1959	0	0	0.112	0.1174
gain	132	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	132	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	133	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	133	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	134	N2	0.1686	0.1686	0.07016	2	0.4094	0.4211
loss	134	N2	0.1686	0.1686	0.07016	2	0.07512	0.07752
gain	134	N3	0.06772	0.2364	0.002442	1	0.0523	0.05269
gain	134	N5	0.08146	0.2501	0.003067	1	0.05815	0.05874
gain	134	S6	0.1959	0.1959	0	0	0.07835	0.08108
loss	134	S6	0.1959	0.1959	0	0	0.6676	0.6994
gain	135	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	135	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	136	N2	0.1686	0.1686	0.07016	2	0.4094	0.4211
loss	136	N2	0.1686	0.1686	0.07016	2	0.07512	0.07752
gain	136	N3	0.06772	0.2364	0.002442	1	0.0523	0.05269
gain	136	N5	0.08146	0.2501	0.003067	1	0.05815	0.05874
gain	136	S6	0.1959	0.1959	0	0	0.07835	0.08108
loss	136	S6	0.1959	0.1959	0	0	0.6676	0.6994
gain	137	N2	0.1686	0.1686	0.07016	2	0.06261	0.0651
loss	137	N2	0.1686	0.1686	0.07016	2	0.08783	0.09092
gain	137	S6	0.1959	0.1959	0	0	0.112	0.1174
gain	138	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	138	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	139	N2	0.1686	0.1686	0.07016	2	0.4094	0.4211
loss	139	N2	0.1686	0.1686	0.07016	2	0.07512	0.07752
gain	139	N3	0.06772	0.2364	0.002442	1	0.0523	0.05269
gain	139	N5	0.08146	0.2501	0.003067	1	0.05815	0.05874
gain	139	S6	0.1959	0.1959	0	0	0.07835	0.08108
loss	139	S6	0.1959	0.1959	0	0	0.6676	0.6994
gain	140	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	140	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	141	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	141	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	142	N2	0.1686	0.1686	0.07016	2	0.09115	0.09438
loss	142	N2	0.1686	0.1686	0.07016	2	0.2286	0.2398
loss	142	N3	0.06772	0.2364	0.002442	1	0.08661	0.08737
gain	142	N5	0.08146	0.2501	0.003067	1	0.07643	0.07723
loss	142	S1	0.003067	0.2532	0	0	0.1023	0.1023
gain	142	S2	0.004728	0.2548	0	0	0.8977	0.8978
gain	142	S6	0.1959	0.1959	0	0	0.09027	0.09364
loss	142	S6	0.1959	0.1959	0	0	0.2927	0.3122
